id,title,original_language,release_date,overview,popularity,vote_average,vote_count,genre_ids,poster_url
1477453,Trainwreck: The Astroworld Tragedy,en,2025-06-09,"Featuring exclusive interviews with survivors, paramedics and festival staff, this documentary examines the 2021 Astroworld tragedy and its aftermath.",10.128,6.478,46,99,https://image.tmdb.org/t/p/w500/d3Znx32rUXgDm8x7OT2LCFg1qWR.jpg
882569,Guy Ritchie's The Covenant,en,2023-04-19,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.",10.1187,7.751,2782,"10752,28,53",https://image.tmdb.org/t/p/w500/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg
236653,The Hungry Wolf,en,1942-02-21,"It's the dead of winter, a hungry wolf is out of food, and he's desperate.",10.1036,9.0,3,"16,10751",
34851,Predators,en,2010-07-07,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,10.1024,6.279,4300,"878,28,53",https://image.tmdb.org/t/p/w500/sx5EuckP7SBQrlMlxg0PLt282WS.jpg
341174,Fifty Shades Darker,en,2017-02-08,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",10.0954,6.484,7744,"18,10749",https://image.tmdb.org/t/p/w500/w3qa274gvca9t8pkUoG8nfQgTU3.jpg
1159311,My Hero Academia: You're Next,ja,2024-08-02,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",10.0936,7.039,141,"16,28,12,878",https://image.tmdb.org/t/p/w500/8rdB1wkheEMMqcY8qLAKjCMPcnZ.jpg
399579,Alita: Battle Angel,en,2019-01-31,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",10.0632,7.243,9465,"28,878,12",https://image.tmdb.org/t/p/w500/xRWht48C2V8XNfzvPehyClOvDni.jpg
157350,Divergent,en,2014-03-14,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",10.0291,6.915,13014,"28,12,878",https://image.tmdb.org/t/p/w500/aNh4Q3iuPKDMPi2SL7GgOpiLukX.jpg
575678,The Serial Rape Murderer,ja,1983-10-10,"12 Years ago, Fuyuko, was 7 years old, watched her sister, a high school student, raped and choked to die. Fuyuko never forgets that the man who killed her sister has a red snake tattoo on his thigh. Suffering from the memory and deeply being traumatized, Fuyuko meets the tattooed man by accident and tries to hunt down...",10.0246,5.75,4,80,
556694,Three Thousand Years of Longing,en,2022-08-24,"A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories.",10.0238,6.899,1482,"18,14,10749",https://image.tmdb.org/t/p/w500/nS7DNl4A7XnDncZX70UJ8ALAihF.jpg
73723,The Lorax,en,2012-03-01,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",10.0163,6.511,3679,"16,10751",https://image.tmdb.org/t/p/w500/tePFnZFw5JvjwjQjaKkqDPNMLPU.jpg
